Ticker,Lower_Close,Daily_Close,Pullback_Depth,Score,ATR_Stop,Target1,Target2,Reasons
SNDK,618.609985,618.890015,0.024744,0.6721,16.769933,632.58493,646.559874,Pullback depth 0.0247438165476781 outside range;Not near EMA10
TQQQ,49.360001,49.400002,0.026814,0.7052,1.138785,50.308988,51.257975,Pullback depth 0.0268138915145852 outside range
NFLX,96.940002,96.940002,0.022739,0.7871,1.099727,97.856441,98.77288,Pullback depth 0.02273891100639713 outside range
ONDS,10.0201,10.01,0.117172,0.83,0.475023,10.415952,10.811805,OK
NAK,1.42,1.42,0.006993,0.5402,0.038109,1.451758,1.483516,Pullback depth 0.006993000580457562 outside range;Volume not confirming;Not near EMA10
TSLR,24.215,24.200001,0.032947,0.7017,0.651284,24.757737,25.300474,OK
RBLU,13.25,13.32,0.21644,0.4935,0.629062,13.774219,14.298437,Volume not confirming;Not near EMA10
ACHR,6.32,6.32,0.037319,0.1042,0.163942,6.456618,6.593236,Not in daily uptrend;Volume not confirming;Not near EMA10
CRML,10.065,10.09,0.033605,0.8021,0.416279,10.411898,10.758797,Not near EMA10
FLNC,16.9,16.879999,-0.018379,0.5,0.487419,17.306182,17.712364,Pullback depth -0.018379048978347252 outside range;Volume not confirming;Not near EMA10
RGTX,5.72,5.71,0.078163,0.6275,0.382286,6.038571,6.357142,Not near EMA10
AMDL,12.49,12.49,0.024981,0.7222,0.392697,12.817247,13.144495,Pullback depth 0.02498053380298876 outside range
ABAT,3.585,3.57,0.017808,0.5781,0.106158,3.673465,3.761931,Pullback depth 0.01780823438962559 outside range;Volume not confirming;Not near EMA10
GSIT,8.58,8.6,0.041341,0.7718,0.259052,8.795877,9.011754,OK
ELBM,0.7159,0.725,0.025323,0.6973,0.021464,0.733787,0.751674,Pullback depth 0.02532333187128156 outside range
BETR,38.119999,38.220001,0.039799,0.1056,1.701734,39.53811,40.956222,Not in daily uptrend;Volume not confirming;Not near EMA10
RBLX,58.84,58.830002,0.109699,0.1579,1.416491,60.020409,61.200819,Not in daily uptrend;Volume not confirming;Not near EMA10
GFS,46.625,46.630001,0.035079,0.4029,0.905838,47.379865,48.13473,Volume not confirming;Not near EMA10
UUUU,20.309999,20.309999,0.038807,0.505,0.660319,20.860265,21.410531,Volume not confirming
RKLB,68.93,68.93,0.073409,0.6248,2.368428,70.90369,72.87738,Not near EMA10
BABA,136.830002,136.850006,0.015788,0.7481,1.766912,138.302428,139.774854,Pullback depth 0.015788470863476827 outside range
MP,61.59,61.580002,0.018463,0.3294,1.507257,62.846047,64.102094,Not in daily uptrend;Pullback depth 0.018462603188506538 outside range;Volume not confirming
RDDT,134.029999,134.130005,0.071589,0.4238,3.354873,136.825726,139.621454,Volume not confirming;Not near EMA10
CRWV,74.879997,74.919998,0.036417,0.4698,1.941761,76.498132,78.116266,Not in daily uptrend
AMD,203.240005,203.229996,0.012964,0.7513,3.335552,206.019632,208.799259,Pullback depth 0.012964407311579508 outside range
LAES,4.02,4.01,0.061844,0.6182,0.118809,4.119007,4.218014,Not near EMA10
TSLA,399.234985,399.23999,0.01521,0.7377,5.592631,403.895511,408.556037,Pullback depth 0.015210411775200446 outside range
AEM,227.070007,226.940002,0.018733,0.4999,3.682038,230.138372,233.206737,Pullback depth 0.018733352684453607 outside range;Volume not confirming
SEPN,28.01,28.02,0.056902,0.5157,0.922946,28.779122,29.548244,Volume not confirming
AG,26.719999,26.719999,0.025529,0.6974,0.715459,27.316215,27.91243,Pullback depth 0.025528838839961973 outside range
UNH,282.380005,282.339996,0.021722,0.7693,3.687303,285.452757,288.525509,Pullback depth 0.02172177081673668 outside range
SNAP,4.92,4.91,0.077788,0.4522,0.10066,5.003883,5.087767,Volume not confirming;Not near EMA10
UNHG,11.24,11.26,0.031035,0.75,0.274303,11.468586,11.697172,OK
AAPL,260.720001,260.829987,0.005645,0.7748,2.308973,262.644145,264.568289,Pullback depth 0.0056445877857531105 outside range
GRDN,33.740002,33.650002,0.013162,0.5904,0.955612,34.536345,35.332688,Pullback depth 0.013161654469639348 outside range;Volume not confirming;Not near EMA10
NVDA,184.759995,184.770004,0.007387,0.5551,2.235368,186.622801,188.485608,Pullback depth 0.0073871117230967665 outside range;Volume not confirming
ARM,120.589996,120.550003,0.024155,0.2869,2.263111,122.475922,124.361848,Not in daily uptrend;Pullback depth 0.0241553767676951 outside range;Volume not confirming
TSMU,54.110001,54.092999,0.041622,0.5066,1.330673,55.218895,56.327789,Volume not confirming
JOBY,9.89,9.88,0.028439,0.4991,0.278802,10.122335,10.35467,Pullback depth 0.02843944137420544 outside range;Volume not confirming
BTQ,3.21,3.21,0.033132,0.7026,0.123522,3.312935,3.41587,OK
NVDL,82.650002,82.660004,0.014957,0.4263,1.920476,84.250398,85.850794,Not in daily uptrend;Pullback depth 0.014957359772081099 outside range
CAN,0.485,0.478,0.055501,0.1146,0.015062,0.497551,0.510103,Not in daily uptrend;Volume not confirming;Not near EMA10
CLSK,9.62,9.63,0.035105,0.2029,0.312213,9.880178,10.140355,Not in daily uptrend;Volume not confirming
NBIS,96.370003,96.43,0.009965,0.4479,2.648788,98.577326,100.78465,Not in daily uptrend;Pullback depth 0.009965005422247108 outside range
AMPX,17.995001,18.0,0.028531,0.6992,0.740933,18.612445,19.229888,Pullback depth 0.028531302974397037 outside range
KEEL,2.155,2.16,0.042222,0.407,0.073123,2.215936,2.276872,Not in daily uptrend
EOSE,6.41,6.41,0.046131,0.759,0.246725,6.615604,6.821208,OK
IREN,38.110001,38.119999,0.050218,0.6116,1.255395,39.156163,40.202326,Not near EMA10
BURU,0.2652,0.265,0.133475,0.6591,0.014095,0.276946,0.288692,Not near EMA10
TTMI,96.485001,96.43,0.032053,0.5012,2.810355,98.826963,101.168926,Volume not confirming
GLW,136.259995,136.220001,0.022104,0.6097,3.637977,139.291642,142.32329,Pullback depth 0.022104219262256038 outside range;Not near EMA10
AEP,132.320007,132.309998,0.004589,0.5851,0.953707,133.114763,133.909519,Pullback depth 0.004588771422340071 outside range;Volume not confirming
TSEM,116.940002,116.879997,0.030268,0.5573,3.093228,119.517693,122.095383,Volume not confirming
ALAB,116.629997,116.480003,0.050012,0.4114,3.466668,119.518887,122.407778,Volume not confirming;Not near EMA10
NUAI,4.5,4.51,0.060543,0.7517,0.15178,4.626483,4.752966,OK
RMBS,89.660004,89.610001,0.024587,0.5325,2.247418,91.532852,93.405701,Pullback depth 0.024586537770400704 outside range;Volume not confirming
QQQ,607.640015,607.77002,0.009014,0.7567,4.711928,611.566621,615.493228,Pullback depth 0.009013525115405194 outside range
SIDU,1.98,1.97,0.034617,0.7026,0.069339,2.037782,2.095564,OK
SKYT,28.809999,28.82,0.03013,0.5001,0.550417,29.26868,29.727361,Volume not confirming
POET,6.99,7.0,0.026028,0.6977,0.263714,7.209761,7.429523,Pullback depth 0.02602831469871449 outside range
DXYZ,26.0,26.02,0.039705,0.7419,0.411546,26.342955,26.68591,OK
LITE,672.02002,672.0,0.03857,0.7049,26.602714,694.188948,716.357876,OK
STI,3.915,3.94,0.040441,0.6287,0.113827,4.009856,4.104711,Volume not confirming
QS,6.825,6.82,0.025696,0.4975,0.163059,6.960882,7.096765,Pullback depth 0.025695974623142086 outside range;Volume not confirming
DFLI,2.67,2.67,0.043011,0.4074,0.113286,2.764405,2.858811,Not in daily uptrend
APLS,19.639999,19.639999,0.032036,0.6242,0.34023,19.923524,20.207049,Volume not confirming
RTX,207.020004,207.0,0.012827,0.783,2.195867,208.849893,210.679783,Pullback depth 0.012827248845004077 outside range
VOO,622.669983,622.719971,0.009166,0.7579,4.286144,626.241769,629.813556,Pullback depth 0.009165714292374165 outside range
GLD,477.730011,477.859985,0.006509,0.5617,3.83362,480.924694,484.119378,Pullback depth 0.006509117956541992 outside range;Volume not confirming
UVXY,49.68,49.799999,0.135549,0.8603,3.008898,52.187415,54.69483,Not near EMA10
VGT,732.049988,731.98999,0.01083,0.7505,6.765509,737.687912,743.325837,Pullback depth 0.010830149543616717 outside range
SQQQ,70.629997,70.589996,0.06842,0.6172,1.660183,72.013483,73.396969,Not in daily uptrend
SPMO,119.07,119.080002,0.010308,0.4566,0.933966,119.848304,120.626609,Not in daily uptrend;Pullback depth 0.010307506015650043 outside range
TE,7.98,7.98,0.007475,0.4997,0.294499,8.225416,8.470832,Pullback depth 0.007475041088143081 outside range;Volume not confirming;Not near EMA10
